Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-22,72,-1594.63,3811.85,-6042.8,11575.1
-21,72,-1607.33,3845.08,-6073.23,11653.4
-20,72,-1619.53,3876.97,-6102.2,11728.8
-19,72,-1631.22,3907.5,-6129.65,11801
-18,72,-1642.4,3936.62,-6155.53,11869.9
-17,72,-1653.04,3964.33,-6179.79,11935.5
-16,72,-1663.15,3990.6,-6202.38,11997.7
-15,72,-1672.7,4015.4,-6223.26,12056.3
-14,72,-1681.69,4038.72,-6242.38,12111.3
-13,72,-1690.11,4060.53,-6259.71,12162.5
-12,72,-1697.94,4080.82,-6275.21,12209.9
-11,72,-1705.18,4099.56,-6288.83,12253.5
-10,72,-1711.81,4116.74,-6300.56,12293
-9,72,-1717.83,4132.35,-6310.36,12328.5
-8,72,-1723.22,4146.36,-6318.2,12359.9
-7,72,-1727.98,4158.78,-6324.07,12387.2
-6,72,-1732.1,4169.58,-6327.95,12410.3
-5,72,-1735.57,4178.76,-6329.81,12429.2
-4,72,-1738.37,4186.31,-6329.65,12443.8
-3,72,-1740.51,4192.22,-6327.46,12454.1
-2,72,-1741.97,4196.48,-6323.24,12460.1
-1,72,-1742.75,4199.1,-6316.98,12461.8
0,72,-1742.85,4200.07,-6308.69,12459.2
1,72,-1742.25,4199.38,-6298.37,12452.4
2,72,-1740.95,4197.05,-6286.03,12441.2
3,72,-1738.96,4193.07,-6271.68,12425.7
4,72,-1736.26,4187.44,-6255.34,12405.9
5,72,-1732.85,4180.18,-6237.03,12382
6,72,-1728.74,4171.28,-6216.78,12353.9
7,72,-1723.92,4160.77,-6194.6,12321.6
